## olmo2_1b_bf16 major [anchor]  n_ctx=24
layer  P1    P5   | P1b   P5b  | iso7 | whiteRSA f/c  | GramRSA(z,p)  ctx mean±sd | GramRSA blackproj (z) | white-only
    0 nan nan | nan nan | nan | +nan +nan | +nan (+nan,0.000) +nan±nan | +nan (+nan) | +nan
    1 0.166 0.225 | 0.195 0.113 | 0.76 | -0.30 +0.04 | +0.158 (+1.4,0.085) +0.149±0.019 | +0.016 (-0.9) | -0.192
    2 0.157 0.264 | 0.192 0.113 | 0.64 | -0.27 +0.11 | +0.300 (+2.6,0.011) +0.284±0.031 | +0.059 (-0.6) | +0.158
    3 0.162 0.265 | 0.200 0.114 | 0.63 | -0.24 +0.11 | +0.342 (+2.9,0.009) +0.304±0.045 | +0.105 (-0.2) | +0.090
    4 0.172 0.271 | 0.217 0.117 | 0.62 | -0.16 +0.15 | +0.333 (+2.6,0.013) +0.312±0.056 | +0.105 (-0.3) | -0.031
    5 0.173 0.275 | 0.219 0.122 | 0.64 | -0.14 +0.14 | +0.331 (+2.6,0.011) +0.303±0.056 | +0.187 (+0.4) | +0.009
    6 0.182 0.273 | 0.227 0.122 | 0.65 | -0.13 +0.17 | +0.335 (+2.7,0.009) +0.324±0.067 | +0.207 (+0.5) | -0.009
    7 0.172 0.278 | 0.215 0.128 | 0.64 | -0.14 +0.15 | +0.322 (+2.5,0.018) +0.318±0.068 | +0.220 (+0.6) | +0.040
    8 0.177 0.293 | 0.231 0.124 | 0.60 | -0.14 +0.23 | +0.384 (+3.0,0.006) +0.365±0.100 | +0.162 (+0.2) | +0.031
    9 0.175 0.302 | 0.230 0.126 | 0.59 | -0.16 +0.21 | +0.417 (+3.2,0.004) +0.378±0.103 | +0.167 (+0.2) | +0.069
   10 0.166 0.299 | 0.216 0.134 | 0.60 | -0.08 +0.21 | +0.382 (+3.0,0.004) +0.355±0.101 | +0.202 (+0.5) | +0.106
   11 0.162 0.305 | 0.214 0.132 | 0.58 | -0.07 +0.24 | +0.386 (+3.0,0.006) +0.356±0.099 | +0.169 (+0.3) | +0.094
   12 0.169 0.311 | 0.226 0.134 | 0.59 | -0.13 +0.20 | +0.435 (+3.3,0.004) +0.386±0.096 | +0.194 (+0.6) | +0.130
   13 0.181 0.301 | 0.236 0.144 | 0.61 | -0.10 +0.18 | +0.347 (+2.8,0.011) +0.331±0.096 | +0.220 (+0.8) | +0.130
   14 0.194 0.297 | 0.245 0.152 | 0.64 | -0.11 +0.14 | +0.322 (+2.5,0.016) +0.311±0.101 | +0.258 (+1.2) | +0.139
   15 0.201 0.293 | 0.248 0.162 | 0.67 | -0.04 +0.07 | +0.307 (+2.4,0.019) +0.290±0.109 | +0.281 (+1.4) | +0.116
   16 0.217 0.284 | 0.267 0.152 | 0.65 | -0.06 +0.08 | +0.316 (+2.5,0.015) +0.295±0.100 | +0.267 (+1.2) | +0.094
## olmo2_1b_bf16 major [mean]  n_ctx=24
layer  P1    P5   | P1b   P5b  | iso7 | whiteRSA f/c  | GramRSA(z,p)  ctx mean±sd | GramRSA blackproj (z) | white-only
    0 0.204 0.202 | 0.245 0.060 | 0.52 | +0.12 -0.31 | +0.267 (+2.9,0.009) +0.267±0.000 | +0.140 (+0.1) | +0.081
    1 0.205 0.212 | 0.251 0.060 | 0.49 | +0.11 -0.33 | +0.324 (+3.2,0.009) +0.325±0.005 | +0.128 (+0.0) | +0.123
    2 0.206 0.221 | 0.256 0.065 | 0.50 | -0.16 -0.26 | +0.362 (+3.2,0.011) +0.364±0.008 | +0.154 (+0.2) | +0.061
    3 0.208 0.236 | 0.266 0.067 | 0.49 | +0.11 -0.08 | +0.373 (+3.3,0.006) +0.367±0.019 | +0.162 (+0.3) | +0.240
    4 0.209 0.249 | 0.275 0.068 | 0.47 | +0.12 +0.10 | +0.364 (+3.3,0.006) +0.380±0.031 | +0.178 (+0.4) | +0.256
    5 0.208 0.259 | 0.279 0.069 | 0.46 | +0.17 +0.16 | +0.367 (+3.3,0.004) +0.366±0.043 | +0.149 (+0.2) | +0.187
    6 0.208 0.263 | 0.282 0.067 | 0.44 | +0.08 +0.30 | +0.348 (+3.0,0.011) +0.360±0.059 | +0.143 (+0.2) | +0.230
    7 0.199 0.286 | 0.282 0.070 | 0.42 | +0.08 +0.34 | +0.409 (+3.5,0.005) +0.388±0.066 | +0.149 (+0.3) | +0.235
    8 0.196 0.292 | 0.282 0.069 | 0.41 | +0.13 +0.30 | +0.412 (+3.5,0.006) +0.381±0.077 | +0.150 (+0.5) | +0.287
    9 0.192 0.301 | 0.280 0.070 | 0.40 | +0.22 +0.35 | +0.440 (+3.8,0.002) +0.388±0.092 | +0.140 (+0.3) | +0.348
   10 0.184 0.320 | 0.277 0.069 | 0.38 | +0.11 +0.41 | +0.472 (+3.9,0.002) +0.426±0.090 | +0.152 (+0.4) | +0.396
   11 0.193 0.302 | 0.280 0.065 | 0.38 | +0.20 -0.19 | +0.458 (+3.7,0.002) +0.436±0.086 | +0.092 (-0.1) | +0.064
   12 0.215 0.263 | 0.278 0.065 | 0.41 | +0.12 -0.10 | +0.403 (+3.1,0.005) +0.398±0.069 | +0.075 (-0.4) | +0.304
   13 0.218 0.229 | 0.263 0.069 | 0.48 | +0.23 -0.08 | +0.399 (+3.1,0.003) +0.383±0.070 | +0.095 (-0.8) | +0.113
   14 0.218 0.214 | 0.257 0.072 | 0.53 | +0.28 -0.15 | +0.396 (+3.1,0.003) +0.378±0.088 | +0.125 (-0.7) | +0.226
   15 0.211 0.214 | 0.249 0.074 | 0.54 | +0.41 -0.09 | +0.364 (+2.9,0.007) +0.340±0.113 | +0.108 (-0.9) | +0.138
   16 0.182 0.229 | 0.224 0.080 | 0.53 | +0.21 -0.13 | +0.283 (+2.2,0.021) +0.301±0.150 | +0.060 (-1.0) | +0.248
## olmo2_1b_bf16 major [last]  n_ctx=24
layer  P1    P5   | P1b   P5b  | iso7 | whiteRSA f/c  | GramRSA(z,p)  ctx mean±sd | GramRSA blackproj (z) | white-only
