/home/moloch/Documents/Research/pitch_fourier/scripts/multictx_analyze.py:45: RuntimeWarning: invalid value encountered in divide
  v = paired_vector(mode_energies(Havg)); p = v / v.sum()
/home/moloch/Documents/Research/pitch_fourier/scripts/multictx_analyze.py:46: RuntimeWarning: invalid value encountered in divide
  Hb = project_out(Havg, BLACK); vb = paired_vector(mode_energies(Hb)); pb = vb / vb.sum()
/home/moloch/Documents/Research/pitch_fourier/scripts/multictx_analyze.py:23: ConstantInputWarning: An input array is constant; the correlation coefficient is not defined.
  return float(spearmanr(G[u], C[u]).correlation)
/home/moloch/Documents/Research/pitch_fourier/pf/fourier.py:192: ConstantInputWarning: An input array is constant; the correlation coefficient is not defined.
  return float(spearmanr(D[iu], L[iu]).correlation)
## olmo2_7b major [anchor]  n_ctx=24
layer  P1    P5   | P1b   P5b  | iso7 | whiteRSA f/c  | GramRSA(z,p)  ctx mean±sd | GramRSA blackproj (z) | white-only
    0 nan nan | nan nan | nan | +nan +nan | +nan (+nan,0.000) +nan±nan | +nan (+nan) | +nan
    1 0.150 0.302 | 0.200 0.129 | 0.59 | +0.05 -0.06 | +0.286 (+2.2,0.036) +0.285±0.007 | +0.110 (+0.0) | +0.091
    2 0.174 0.250 | 0.211 0.109 | 0.60 | +0.03 +0.04 | +0.272 (+2.1,0.031) +0.278±0.020 | +0.206 (+0.4) | +0.118
    3 0.191 0.240 | 0.231 0.099 | 0.60 | -0.12 +0.00 | +0.321 (+2.6,0.013) +0.315±0.037 | +0.120 (-0.4) | +0.126
    4 0.187 0.250 | 0.229 0.100 | 0.59 | -0.07 +0.02 | +0.321 (+2.4,0.015) +0.324±0.036 | +0.130 (-0.3) | +0.075
    5 0.182 0.267 | 0.228 0.104 | 0.58 | -0.07 -0.00 | +0.377 (+2.8,0.007) +0.360±0.041 | +0.169 (+0.1) | +0.103
    6 0.181 0.271 | 0.228 0.106 | 0.58 | -0.02 +0.05 | +0.387 (+3.0,0.005) +0.372±0.038 | +0.211 (+0.5) | +0.144
    7 0.178 0.272 | 0.225 0.109 | 0.59 | -0.03 +0.06 | +0.389 (+2.9,0.006) +0.373±0.039 | +0.177 (+0.2) | +0.144
    8 0.170 0.289 | 0.220 0.117 | 0.58 | -0.00 +0.09 | +0.391 (+3.0,0.009) +0.379±0.052 | +0.188 (+0.4) | +0.208
    9 0.171 0.300 | 0.225 0.119 | 0.56 | +0.04 +0.08 | +0.405 (+3.1,0.008) +0.391±0.058 | +0.239 (+0.8) | +0.197
