family        pos   layer | ECI(9 enh pairs) ctrl-pairs  p(free) | var frac in fitted spelling / semantic subspace on held-out families (random-subspace null)
A_spelling    last  L6   | 0.69 (ctrl 0.63) p=0.974 | spelling 0.74 semantic 0.64 random 0.004 | ECI after removing spelling subspace 0.02
A_spelling    last  L13  | 0.65 (ctrl 0.64) p=0.938 | spelling 0.66 semantic 0.61 random 0.003 | ECI after removing spelling subspace 0.28
A_spelling    last  L20  | 0.57 (ctrl 0.65) p=0.747 | spelling 0.60 semantic 0.55 random 0.003 | ECI after removing spelling subspace 0.16
A_spelling    last  L25  | 0.51 (ctrl 0.58) p=0.554 | spelling 0.54 semantic 0.52 random 0.004 | ECI after removing spelling subspace 0.17
A_spelling    last  L26  | 0.58 (ctrl 0.61) p=0.772 | spelling 0.72 semantic 0.70 random 0.003 | ECI after removing spelling subspace 0.18
B_enharmonic  last  L6   | 0.69 (ctrl 0.64) p=0.975 | spelling 0.75 semantic 0.64 random 0.003 | ECI after removing spelling subspace 0.03
B_enharmonic  last  L13  | 0.70 (ctrl 0.63) p=0.982 | spelling 0.71 semantic 0.59 random 0.003 | ECI after removing spelling subspace 0.24
B_enharmonic  last  L20  | 0.66 (ctrl 0.63) p=0.949 | spelling 0.64 semantic 0.50 random 0.004 | ECI after removing spelling subspace 0.22
B_enharmonic  last  L25  | 0.60 (ctrl 0.63) p=0.841 | spelling 0.58 semantic 0.49 random 0.004 | ECI after removing spelling subspace 0.25
B_enharmonic  last  L26  | 0.55 (ctrl 0.64) p=0.684 | spelling 0.70 semantic 0.66 random 0.004 | ECI after removing spelling subspace 0.27
C_harmonic    last  L6   | 0.68 (ctrl 0.63) p=0.968 | spelling 0.73 semantic 0.63 random 0.004 | ECI after removing spelling subspace 0.03
C_harmonic    last  L13  | 0.65 (ctrl 0.61) p=0.948 | spelling 0.69 semantic 0.62 random 0.003 | ECI after removing spelling subspace 0.19
C_harmonic    last  L20  | 0.59 (ctrl 0.64) p=0.812 | spelling 0.65 semantic 0.58 random 0.004 | ECI after removing spelling subspace 0.11
C_harmonic    last  L25  | 0.53 (ctrl 0.63) p=0.620 | spelling 0.61 semantic 0.57 random 0.004 | ECI after removing spelling subspace 0.12
C_harmonic    last  L26  | 0.55 (ctrl 0.62) p=0.692 | spelling 0.74 semantic 0.72 random 0.003 | ECI after removing spelling subspace 0.14
D_chord       last  L6   | 0.69 (ctrl 0.64) p=0.982 | spelling 0.76 semantic 0.65 random 0.003 | ECI after removing spelling subspace 0.03
D_chord       last  L13  | 0.72 (ctrl 0.62) p=0.994 | spelling 0.71 semantic 0.60 random 0.004 | ECI after removing spelling subspace 0.15
D_chord       last  L20  | 0.59 (ctrl 0.64) p=0.837 | spelling 0.66 semantic 0.58 random 0.003 | ECI after removing spelling subspace 0.08
D_chord       last  L25  | 0.56 (ctrl 0.61) p=0.709 | spelling 0.61 semantic 0.57 random 0.003 | ECI after removing spelling subspace 0.09
D_chord       last  L26  | 0.54 (ctrl 0.64) p=0.668 | spelling 0.76 semantic 0.73 random 0.003 | ECI after removing spelling subspace 0.10
E_modulation  last  L6   | 0.70 (ctrl 0.63) p=0.981 | spelling 0.75 semantic 0.64 random 0.003 | ECI after removing spelling subspace 0.03
E_modulation  last  L13  | 0.72 (ctrl 0.61) p=0.993 | spelling 0.71 semantic 0.59 random 0.003 | ECI after removing spelling subspace 0.29
E_modulation  last  L20  | 0.62 (ctrl 0.60) p=0.888 | spelling 0.65 semantic 0.54 random 0.004 | ECI after removing spelling subspace 0.16
E_modulation  last  L25  | 0.57 (ctrl 0.60) p=0.747 | spelling 0.62 semantic 0.55 random 0.003 | ECI after removing spelling subspace 0.16
E_modulation  last  L26  | 0.54 (ctrl 0.63) p=0.645 | spelling 0.74 semantic 0.69 random 0.004 | ECI after removing spelling subspace 0.19
F_generic     last  L6   | 0.71 (ctrl 0.63) p=0.985 | spelling 0.75 semantic 0.62 random 0.004 | ECI after removing spelling subspace 0.03
F_generic     last  L13  | 0.71 (ctrl 0.62) p=0.991 | spelling 0.71 semantic 0.59 random 0.003 | ECI after removing spelling subspace 0.25
F_generic     last  L20  | 0.58 (ctrl 0.65) p=0.809 | spelling 0.64 semantic 0.56 random 0.003 | ECI after removing spelling subspace 0.11
F_generic     last  L25  | 0.55 (ctrl 0.61) p=0.705 | spelling 0.59 semantic 0.53 random 0.003 | ECI after removing spelling subspace 0.12
F_generic     last  L26  | 0.54 (ctrl 0.62) p=0.653 | spelling 0.73 semantic 0.68 random 0.003 | ECI after removing spelling subspace 0.15
A_spelling    final L6   | 0.61 (ctrl 0.57) p=0.882 | spelling 0.38 semantic 0.41 random 0.003 | ECI after removing spelling subspace 0.57
