family        pos   layer | ECI(9 enh pairs) ctrl-pairs  p(free) | var frac in fitted spelling / semantic subspace on held-out families (random-subspace null)
A_spelling    last  L4   | 0.66 (ctrl 0.58) p=0.955 | spelling 0.68 semantic 0.58 random 0.004 | ECI after removing spelling subspace 0.03
A_spelling    last  L8   | 0.67 (ctrl 0.62) p=0.955 | spelling 0.66 semantic 0.58 random 0.004 | ECI after removing spelling subspace 0.04
A_spelling    last  L12  | 0.61 (ctrl 0.66) p=0.870 | spelling 0.65 semantic 0.59 random 0.004 | ECI after removing spelling subspace 0.03
A_spelling    last  L15  | 0.49 (ctrl 0.63) p=0.421 | spelling 0.59 semantic 0.54 random 0.004 | ECI after removing spelling subspace 0.07
A_spelling    last  L16  | 0.54 (ctrl 0.62) p=0.626 | spelling 0.66 semantic 0.59 random 0.004 | ECI after removing spelling subspace 0.07
B_enharmonic  last  L4   | 0.67 (ctrl 0.58) p=0.967 | spelling 0.67 semantic 0.55 random 0.004 | ECI after removing spelling subspace 0.03
B_enharmonic  last  L8   | 0.70 (ctrl 0.60) p=0.982 | spelling 0.64 semantic 0.52 random 0.004 | ECI after removing spelling subspace 0.10
B_enharmonic  last  L12  | 0.63 (ctrl 0.65) p=0.906 | spelling 0.65 semantic 0.54 random 0.004 | ECI after removing spelling subspace 0.05
B_enharmonic  last  L15  | 0.54 (ctrl 0.63) p=0.631 | spelling 0.56 semantic 0.46 random 0.004 | ECI after removing spelling subspace 0.15
B_enharmonic  last  L16  | 0.55 (ctrl 0.63) p=0.709 | spelling 0.59 semantic 0.48 random 0.004 | ECI after removing spelling subspace 0.18
C_harmonic    last  L4   | 0.66 (ctrl 0.58) p=0.943 | spelling 0.63 semantic 0.55 random 0.004 | ECI after removing spelling subspace 0.04
C_harmonic    last  L8   | 0.60 (ctrl 0.59) p=0.842 | spelling 0.60 semantic 0.55 random 0.004 | ECI after removing spelling subspace 0.12
C_harmonic    last  L12  | 0.60 (ctrl 0.64) p=0.846 | spelling 0.61 semantic 0.57 random 0.004 | ECI after removing spelling subspace 0.04
C_harmonic    last  L15  | 0.49 (ctrl 0.64) p=0.464 | spelling 0.57 semantic 0.54 random 0.004 | ECI after removing spelling subspace 0.08
C_harmonic    last  L16  | 0.57 (ctrl 0.60) p=0.763 | spelling 0.64 semantic 0.57 random 0.004 | ECI after removing spelling subspace 0.09
D_chord       last  L4   | 0.66 (ctrl 0.59) p=0.945 | spelling 0.67 semantic 0.57 random 0.004 | ECI after removing spelling subspace 0.03
D_chord       last  L8   | 0.69 (ctrl 0.62) p=0.977 | spelling 0.67 semantic 0.57 random 0.004 | ECI after removing spelling subspace 0.05
D_chord       last  L12  | 0.65 (ctrl 0.67) p=0.939 | spelling 0.66 semantic 0.58 random 0.004 | ECI after removing spelling subspace 0.03
D_chord       last  L15  | 0.49 (ctrl 0.65) p=0.435 | spelling 0.60 semantic 0.55 random 0.004 | ECI after removing spelling subspace 0.04
D_chord       last  L16  | 0.56 (ctrl 0.63) p=0.728 | spelling 0.66 semantic 0.58 random 0.004 | ECI after removing spelling subspace 0.04
E_modulation  last  L4   | 0.67 (ctrl 0.58) p=0.964 | spelling 0.66 semantic 0.56 random 0.004 | ECI after removing spelling subspace 0.03
E_modulation  last  L8   | 0.67 (ctrl 0.59) p=0.960 | spelling 0.62 semantic 0.52 random 0.004 | ECI after removing spelling subspace 0.11
E_modulation  last  L12  | 0.66 (ctrl 0.63) p=0.946 | spelling 0.63 semantic 0.54 random 0.004 | ECI after removing spelling subspace 0.04
E_modulation  last  L15  | 0.53 (ctrl 0.61) p=0.593 | spelling 0.55 semantic 0.48 random 0.004 | ECI after removing spelling subspace 0.07
E_modulation  last  L16  | 0.53 (ctrl 0.62) p=0.624 | spelling 0.58 semantic 0.49 random 0.004 | ECI after removing spelling subspace 0.11
F_generic     last  L4   | 0.66 (ctrl 0.57) p=0.956 | spelling 0.66 semantic 0.55 random 0.004 | ECI after removing spelling subspace 0.03
