family        pos   layer | ECI(9 enh pairs) ctrl-pairs  p(free) | var frac in fitted spelling / semantic subspace on held-out families (random-subspace null)
A_spelling    last  L9   | 0.67 (ctrl 0.63) p=0.955 | spelling 0.72 semantic 0.61 random 0.004 | ECI after removing spelling subspace 0.02
A_spelling    last  L18  | 0.70 (ctrl 0.63) p=0.981 | spelling 0.72 semantic 0.65 random 0.004 | ECI after removing spelling subspace 0.07
A_spelling    last  L27  | 0.73 (ctrl 0.63) p=0.995 | spelling 0.72 semantic 0.66 random 0.004 | ECI after removing spelling subspace 0.08
A_spelling    last  L35  | 0.51 (ctrl 0.63) p=0.499 | spelling 0.59 semantic 0.58 random 0.004 | ECI after removing spelling subspace 0.16
A_spelling    last  L36  | 0.60 (ctrl 0.64) p=0.834 | spelling 0.68 semantic 0.67 random 0.004 | ECI after removing spelling subspace 0.14
B_enharmonic  last  L9   | 0.67 (ctrl 0.62) p=0.965 | spelling 0.73 semantic 0.62 random 0.004 | ECI after removing spelling subspace 0.02
B_enharmonic  last  L18  | 0.70 (ctrl 0.64) p=0.982 | spelling 0.72 semantic 0.63 random 0.004 | ECI after removing spelling subspace 0.14
B_enharmonic  last  L27  | 0.69 (ctrl 0.63) p=0.977 | spelling 0.71 semantic 0.63 random 0.004 | ECI after removing spelling subspace 0.17
B_enharmonic  last  L35  | 0.54 (ctrl 0.63) p=0.632 | spelling 0.60 semantic 0.56 random 0.004 | ECI after removing spelling subspace 0.32
B_enharmonic  last  L36  | 0.58 (ctrl 0.65) p=0.790 | spelling 0.71 semantic 0.65 random 0.004 | ECI after removing spelling subspace 0.31
C_harmonic    last  L9   | 0.67 (ctrl 0.64) p=0.963 | spelling 0.72 semantic 0.61 random 0.004 | ECI after removing spelling subspace 0.02
C_harmonic    last  L18  | 0.69 (ctrl 0.63) p=0.980 | spelling 0.72 semantic 0.64 random 0.004 | ECI after removing spelling subspace 0.10
C_harmonic    last  L27  | 0.70 (ctrl 0.64) p=0.981 | spelling 0.72 semantic 0.65 random 0.004 | ECI after removing spelling subspace 0.10
C_harmonic    last  L35  | 0.50 (ctrl 0.65) p=0.466 | spelling 0.60 semantic 0.57 random 0.004 | ECI after removing spelling subspace 0.15
C_harmonic    last  L36  | 0.58 (ctrl 0.68) p=0.809 | spelling 0.70 semantic 0.66 random 0.004 | ECI after removing spelling subspace 0.14
D_chord       last  L9   | 0.67 (ctrl 0.64) p=0.967 | spelling 0.72 semantic 0.61 random 0.004 | ECI after removing spelling subspace 0.03
D_chord       last  L18  | 0.71 (ctrl 0.63) p=0.987 | spelling 0.72 semantic 0.65 random 0.004 | ECI after removing spelling subspace 0.07
D_chord       last  L27  | 0.71 (ctrl 0.63) p=0.985 | spelling 0.73 semantic 0.65 random 0.004 | ECI after removing spelling subspace 0.07
D_chord       last  L35  | 0.52 (ctrl 0.63) p=0.580 | spelling 0.62 semantic 0.58 random 0.004 | ECI after removing spelling subspace 0.11
D_chord       last  L36  | 0.63 (ctrl 0.65) p=0.901 | spelling 0.69 semantic 0.65 random 0.004 | ECI after removing spelling subspace 0.10
E_modulation  last  L9   | 0.68 (ctrl 0.62) p=0.969 | spelling 0.72 semantic 0.61 random 0.004 | ECI after removing spelling subspace 0.02
E_modulation  last  L18  | 0.72 (ctrl 0.64) p=0.989 | spelling 0.73 semantic 0.62 random 0.004 | ECI after removing spelling subspace 0.08
E_modulation  last  L27  | 0.68 (ctrl 0.64) p=0.973 | spelling 0.72 semantic 0.62 random 0.004 | ECI after removing spelling subspace 0.09
E_modulation  last  L35  | 0.52 (ctrl 0.63) p=0.588 | spelling 0.61 semantic 0.58 random 0.004 | ECI after removing spelling subspace 0.23
E_modulation  last  L36  | 0.56 (ctrl 0.66) p=0.728 | spelling 0.67 semantic 0.64 random 0.004 | ECI after removing spelling subspace 0.23
F_generic     last  L9   | 0.70 (ctrl 0.62) p=0.988 | spelling 0.72 semantic 0.60 random 0.004 | ECI after removing spelling subspace 0.02
F_generic     last  L18  | 0.69 (ctrl 0.64) p=0.975 | spelling 0.68 semantic 0.61 random 0.004 | ECI after removing spelling subspace 0.23
F_generic     last  L27  | 0.68 (ctrl 0.63) p=0.975 | spelling 0.70 semantic 0.61 random 0.004 | ECI after removing spelling subspace 0.16
F_generic     last  L35  | 0.54 (ctrl 0.61) p=0.656 | spelling 0.58 semantic 0.56 random 0.004 | ECI after removing spelling subspace 0.28
F_generic     last  L36  | 0.57 (ctrl 0.64) p=0.743 | spelling 0.65 semantic 0.61 random 0.004 | ECI after removing spelling subspace 0.27
A_spelling    final L9   | 0.60 (ctrl 0.60) p=0.854 | spelling 0.55 semantic 0.55 random 0.004 | ECI after removing spelling subspace 0.48
A_spelling    final L18  | 0.63 (ctrl 0.62) p=0.925 | spelling 0.19 semantic 0.17 random 0.004 | ECI after removing spelling subspace 0.61
A_spelling    final L27  | 0.63 (ctrl 0.61) p=0.918 | spelling 0.16 semantic 0.14 random 0.004 | ECI after removing spelling subspace 0.61
A_spelling    final L35  | 0.62 (ctrl 0.64) p=0.905 | spelling 0.16 semantic 0.14 random 0.004 | ECI after removing spelling subspace 0.57
A_spelling    final L36  | 0.61 (ctrl 0.64) p=0.866 | spelling 0.21 semantic 0.20 random 0.004 | ECI after removing spelling subspace 0.56
B_enharmonic  final L9   | 0.63 (ctrl 0.59) p=0.912 | spelling 0.44 semantic 0.43 random 0.004 | ECI after removing spelling subspace 0.51
B_enharmonic  final L18  | 0.63 (ctrl 0.64) p=0.915 | spelling 0.17 semantic 0.13 random 0.004 | ECI after removing spelling subspace 0.61
B_enharmonic  final L27  | 0.66 (ctrl 0.62) p=0.950 | spelling 0.34 semantic 0.31 random 0.004 | ECI after removing spelling subspace 0.60
B_enharmonic  final L35  | 0.67 (ctrl 0.62) p=0.958 | spelling 0.48 semantic 0.47 random 0.004 | ECI after removing spelling subspace 0.29
B_enharmonic  final L36  | 0.66 (ctrl 0.62) p=0.956 | spelling 0.49 semantic 0.48 random 0.004 | ECI after removing spelling subspace 0.29
C_harmonic    final L9   | 0.63 (ctrl 0.61) p=0.904 | spelling 0.49 semantic 0.43 random 0.004 | ECI after removing spelling subspace 0.55
C_harmonic    final L18  | 0.55 (ctrl 0.62) p=0.714 | spelling 0.22 semantic 0.17 random 0.004 | ECI after removing spelling subspace 0.54
C_harmonic    final L27  | 0.60 (ctrl 0.61) p=0.862 | spelling 0.25 semantic 0.20 random 0.004 | ECI after removing spelling subspace 0.56
C_harmonic    final L35  | 0.64 (ctrl 0.61) p=0.920 | spelling 0.45 semantic 0.42 random 0.004 | ECI after removing spelling subspace 0.42
C_harmonic    final L36  | 0.64 (ctrl 0.61) p=0.933 | spelling 0.47 semantic 0.46 random 0.004 | ECI after removing spelling subspace 0.43
D_chord       final L9   | 0.64 (ctrl 0.63) p=0.935 | spelling 0.20 semantic 0.21 random 0.004 | ECI after removing spelling subspace 0.64
D_chord       final L18  | 0.60 (ctrl 0.63) p=0.846 | spelling 0.06 semantic 0.05 random 0.004 | ECI after removing spelling subspace 0.59
D_chord       final L27  | 0.63 (ctrl 0.63) p=0.900 | spelling 0.15 semantic 0.11 random 0.004 | ECI after removing spelling subspace 0.61
D_chord       final L35  | 0.71 (ctrl 0.61) p=0.988 | spelling 0.41 semantic 0.37 random 0.004 | ECI after removing spelling subspace 0.50
D_chord       final L36  | 0.73 (ctrl 0.62) p=0.993 | spelling 0.43 semantic 0.40 random 0.004 | ECI after removing spelling subspace 0.56
E_modulation  final L9   | 0.62 (ctrl 0.57) p=0.887 | spelling 0.32 semantic 0.30 random 0.004 | ECI after removing spelling subspace 0.58
E_modulation  final L18  | 0.64 (ctrl 0.61) p=0.927 | spelling 0.11 semantic 0.10 random 0.004 | ECI after removing spelling subspace 0.63
E_modulation  final L27  | 0.65 (ctrl 0.60) p=0.944 | spelling 0.29 semantic 0.26 random 0.004 | ECI after removing spelling subspace 0.59
E_modulation  final L35  | 0.68 (ctrl 0.60) p=0.974 | spelling 0.52 semantic 0.47 random 0.004 | ECI after removing spelling subspace 0.54
E_modulation  final L36  | 0.67 (ctrl 0.60) p=0.960 | spelling 0.52 semantic 0.49 random 0.004 | ECI after removing spelling subspace 0.56
F_generic     final L9   | 0.62 (ctrl 0.59) p=0.888 | spelling 0.38 semantic 0.35 random 0.004 | ECI after removing spelling subspace 0.54
F_generic     final L18  | 0.63 (ctrl 0.59) p=0.922 | spelling 0.10 semantic 0.09 random 0.004 | ECI after removing spelling subspace 0.62
F_generic     final L27  | 0.63 (ctrl 0.61) p=0.895 | spelling 0.05 semantic 0.03 random 0.004 | ECI after removing spelling subspace 0.62
F_generic     final L35  | 0.59 (ctrl 0.61) p=0.824 | spelling 0.08 semantic 0.09 random 0.004 | ECI after removing spelling subspace 0.57
F_generic     final L36  | 0.58 (ctrl 0.60) p=0.788 | spelling 0.15 semantic 0.17 random 0.004 | ECI after removing spelling subspace 0.55
