checkpoint (tokens)    fam | line|circle circle|line | twin ECI asym | neutral residual r (rich): A_win40 (p)  D_doc (p) | KL of rows to uniform
s1 300 1B              E   | -0.24       +0.01      | 0.77    4.34 | -0.01 (0.560)   +0.15 (0.338) | row entropy 1.96
s1 300 1B              C   | -0.24       +0.01      | 0.81    3.96 | -0.00 (0.576)   +0.13 (0.398) | row entropy 1.91
s1 10000 21B           E   | +0.19       -0.09      | 0.79    3.44 | +0.10 (0.496)   +0.14 (0.504) | row entropy 1.84
s1 10000 21B           C   | +0.27       -0.20      | 0.85    2.52 | +0.03 (0.667)   +0.12 (0.520) | row entropy 1.58
s1 23100 49B           E   | +0.27       -0.25      | 0.87    2.14 | +0.15 (0.305)   +0.12 (0.406) | row entropy 1.84
s1 23100 49B           C   | +0.40       -0.18      | 0.92    2.92 | +0.19 (0.177)   +0.28 (0.073) | row entropy 1.87
s1 50000 105B          E   | +0.27       -0.09      | 0.89    2.12 | +0.23 (0.104)   +0.27 (0.095) | row entropy 2.07
s1 50000 105B          C   | +0.32       -0.03      | 0.87    2.26 | +0.14 (0.280)   +0.33 (0.038) | row entropy 2.08
s1 140000 294B         E   | +0.27       -0.07      | 0.92    3.38 | +0.27 (0.101)   +0.40 (0.037) | row entropy 2.04
s1 140000 294B         C   | +0.26       -0.10      | 0.87    3.03 | +0.16 (0.373)   +0.29 (0.192) | row entropy 2.00
s1 480000 1007B        E   | +0.34       -0.02      | 0.87    2.96 | +0.18 (0.332)   +0.26 (0.233) | row entropy 2.15
s1 480000 1007B        C   | +0.32       -0.02      | 0.77    2.48 | +0.02 (0.625)   +0.04 (0.638) | row entropy 2.03
s1 950000 1993B        E   | +0.33       -0.04      | 0.91    2.79 | +0.19 (0.214)   +0.34 (0.050) | row entropy 2.16
s1 950000 1993B        C   | +0.29       -0.07      | 0.83    2.60 | +0.10 (0.509)   +0.16 (0.443) | row entropy 2.12
s1 1907359 4001B       E   | +0.33       -0.06      | 0.91    2.63 | +0.26 (0.061)   +0.44 (0.005) | row entropy 2.22
s1 1907359 4001B       C   | +0.28       -0.10      | 0.87    2.21 | +0.12 (0.392)   +0.19 (0.321) | row entropy 2.16
s2i3 23852 51B         E   | +0.44       -0.01      | 0.91    2.62 | +0.27 (0.062)   +0.46 (0.006) | row entropy 2.16
s2i3 23852 51B         C   | +0.38       -0.06      | 0.84    2.01 | +0.15 (0.321)   +0.22 (0.263) | row entropy 2.11
s2i1 23852 51B         E   | +0.42       -0.03      | 0.92    2.55 | +0.28 (0.068)   +0.48 (0.009) | row entropy 2.15
s2i1 23852 51B         C   | +0.30       -0.05      | 0.83    2.09 | +0.15 (0.342)   +0.26 (0.210) | row entropy 2.15
s2i2 23852 51B         E   | +0.42       +0.02      | 0.91    2.65 | +0.27 (0.084)   +0.45 (0.017) | row entropy 2.14
s2i2 23852 51B         C   | +0.33       -0.08      | 0.83    1.92 | +0.12 (0.412)   +0.20 (0.306) | row entropy 2.13
released (other run)   E   | +0.47       +0.03      | 0.90    2.64 | +0.41 (0.001)   +0.53 (0.000) | row entropy 2.18
released (other run)   C   | +0.41       -0.04      | 0.89    2.09 | +0.25 (0.064)   +0.31 (0.036) | row entropy 2.10
