== E_modulation: magnitude; stability to released model; line-controlled Wikipedia twin correspondence
stage1-step300-tokens1B                      | Cb|B: 0.24; stab +0.71; A_win40 +0.39 (p=0.1499) D_doc +0.41 (p=0.1489) || Gb|F#: 0.24; stab +0.53; A_win40 +0.22 (p=0.2759) D_doc +0.27 (p=0.2544) || Db|C#: 0.41; stab -0.20; A_win40 +0.24 (p=0.2664) D_doc -0.06 (p=0.5492)
stage1-step10000-tokens21B                   | Cb|B: 1.81; stab +0.93; A_win40 +0.10 (p=0.3888) D_doc +0.10 (p=0.4118) || Gb|F#: 1.43; stab +0.80; A_win40 +0.47 (p=0.0940) D_doc -0.06 (p=0.5527) || Db|C#: 0.85; stab +0.77; A_win40 -0.55 (p=0.9400) D_doc +0.14 (p=0.3548)
stage1-step23100-tokens49B                   | Cb|B: 1.70; stab +0.92; A_win40 -0.02 (p=0.5257) D_doc +0.12 (p=0.3768) || Gb|F#: 1.33; stab +0.86; A_win40 +0.22 (p=0.2849) D_doc -0.32 (p=0.7901) || Db|C#: 1.39; stab +0.92; A_win40 +0.60 (p=0.0470) D_doc -0.06 (p=0.5502)
stage1-step50000-tokens105B                  | Cb|B: 1.69; stab +0.92; A_win40 +0.01 (p=0.4823) D_doc +0.01 (p=0.5057) || Gb|F#: 1.15; stab +0.95; A_win40 +0.35 (p=0.1854) D_doc +0.25 (p=0.2504) || Db|C#: 0.93; stab +0.86; A_win40 +0.11 (p=0.3733) D_doc +0.16 (p=0.3513)
stage1-step140000-tokens294B                 | Cb|B: 2.04; stab +0.94; A_win40 +0.02 (p=0.4633) D_doc +0.00 (p=0.5027) || Gb|F#: 1.39; stab +0.94; A_win40 +0.39 (p=0.1534) D_doc +0.16 (p=0.3343) || Db|C#: 1.29; stab +0.88; A_win40 +0.81 (p=0.0080) D_doc -0.24 (p=0.7236)
stage1-step480000-tokens1007B                | Cb|B: 1.50; stab +0.97; A_win40 +0.28 (p=0.2524) D_doc +0.27 (p=0.2489) || Gb|F#: 1.07; stab +0.96; A_win40 +0.00 (p=0.4813) D_doc +0.28 (p=0.2454) || Db|C#: 1.08; stab +0.93; A_win40 +0.55 (p=0.0505) D_doc +0.03 (p=0.4333)
stage1-step950000-tokens1993B                | Cb|B: 1.50; stab +0.99; A_win40 +0.39 (p=0.1549) D_doc +0.41 (p=0.1494) || Gb|F#: 0.87; stab +0.96; A_win40 +0.44 (p=0.1184) D_doc +0.50 (p=0.0825) || Db|C#: 0.73; stab +0.86; A_win40 +0.15 (p=0.3543) D_doc +0.31 (p=0.1904)
stage1-step1907359-tokens4001B               | Cb|B: 1.40; stab +0.97; A_win40 +0.48 (p=0.1009) D_doc +0.43 (p=0.1304) || Gb|F#: 1.04; stab +0.96; A_win40 +0.16 (p=0.3268) D_doc +0.88 (p=0.0015) || Db|C#: 0.76; stab +0.93; A_win40 +0.60 (p=0.0400) D_doc +0.29 (p=0.2079)
stage2-ingredient3-step23852-tokens51B       | Cb|B: 1.65; stab +0.98; A_win40 +0.38 (p=0.1684) D_doc +0.41 (p=0.1499) || Gb|F#: 1.02; stab +0.97; A_win40 +0.58 (p=0.0605) D_doc +0.86 (p=0.0040) || Db|C#: 0.69; stab +0.90; A_win40 +0.58 (p=0.0565) D_doc +0.40 (p=0.1359)
stage2-ingredient1-step23852-tokens51B       | Cb|B: 1.62; stab +0.98; A_win40 +0.45 (p=0.1254) D_doc +0.49 (p=0.1019) || Gb|F#: 0.97; stab +0.96; A_win40 +0.38 (p=0.1554) D_doc +0.77 (p=0.0095) || Db|C#: 0.75; stab +0.89; A_win40 +0.65 (p=0.0310) D_doc +0.34 (p=0.1674)
stage2-ingredient2-step23852-tokens51B       | Cb|B: 1.61; stab +0.98; A_win40 +0.45 (p=0.1259) D_doc +0.46 (p=0.1104) || Gb|F#: 0.94; stab +0.96; A_win40 +0.44 (p=0.1159) D_doc +0.90 (p=0.0015) || Db|C#: 0.69; stab +0.83; A_win40 +0.67 (p=0.0215) D_doc +0.31 (p=0.1894)
