Phase-V v4 cross-corpus specificity (aggregated view)
schema=phase5-crosscorpus-v4.1; feature_schema=phase5-theory-v4.1
grids: 4 corpora x one direct + 5 baselines; 36 cells/grid; 15 rows/cell

Direct versus five-seed size-matched Wikipedia baseline; specificity is direct row DeltaKL minus the mean baseline row DeltaKL.
corpus | model | family | extraction | direct residual_r(p) dkl(p) r2 | baseline dkl mean sd [min,max] sig/5 | row mean Wilcoxon-p
olmomix_wiki | olmo2_1b | C_harmonic | A_win40 | +0.0927(+0.2979) +0.000641(+0.3793) +0.012493 | +0.002067 0.001966 [-0.000592,+0.004713] 0/5 | -0.001426 p=0.25238
olmomix_wiki | olmo2_1b | C_harmonic | B_any | +0.1172(+0.2354) +0.002345(+0.1819) +0.025639 | -0.000023 0.001933 [-0.001834,+0.003243] 0/5 | +0.002369 p=0.168823
olmomix_wiki | olmo2_1b | C_harmonic | D_doc | +0.0278(+0.4513) +0.000417(+0.5092) +0.011780 | -0.001463 0.000732 [-0.002432,-0.000500] 0/5 | +0.001880 p=0.135376
olmomix_wiki | olmo2_1b | D_chord | A_win40 | +0.0646(+0.3683) -0.000179(+0.6172) -0.009761 | +0.000136 0.000965 [-0.001284,+0.001416] 0/5 | -0.000315 p=0.524475
olmomix_wiki | olmo2_1b | D_chord | B_any | -0.0031(+0.5232) -0.000159(+0.5767) -0.005799 | -0.000124 0.000538 [-0.000676,+0.000723] 0/5 | -0.000035 p=1
olmomix_wiki | olmo2_1b | D_chord | D_doc | +0.0283(+0.4493) +0.000546(+0.6132) -0.012610 | -0.000000 0.001291 [-0.001182,+0.002036] 0/5 | +0.000546 p=0.330261
olmomix_wiki | olmo2_1b | E_modulation | A_win40 | +0.2860(+0.0035) +0.003826(+0.0240) +0.082559 | +0.002585 0.000601 [+0.001977,+0.003356] 3/5 | +0.001240 p=0.488708
olmomix_wiki | olmo2_1b | E_modulation | B_any | +0.2674(+0.0025) +0.002560(+0.0590) +0.081112 | -0.000524 0.000769 [-0.001293,+0.000553] 0/5 | +0.003084 p=0.330261
olmomix_wiki | olmo2_1b | E_modulation | D_doc | +0.2416(+0.0635) +0.004353(+0.0455) +0.113720 | +0.002928 0.002341 [-0.000202,+0.006021] 2/5 | +0.001425 p=0.599487
olmomix_wiki | gemma2_2b | C_harmonic | A_win40 | +0.0539(+0.3943) -0.002159(+0.8501) -0.020332 | -0.001446 0.000580 [-0.002433,-0.000964] 0/5 | -0.000713 p=0.421204
olmomix_wiki | gemma2_2b | C_harmonic | B_any | +0.1235(+0.1959) -0.001238(+0.6967) +0.000431 | -0.001340 0.001048 [-0.002108,+0.000444] 0/5 | +0.000102 p=0.389404
olmomix_wiki | gemma2_2b | C_harmonic | D_doc | +0.0414(+0.4638) -0.002369(+0.8871) -0.015190 | -0.001015 0.001318 [-0.003188,-0.000026] 0/5 | -0.001354 p=0.934082
olmomix_wiki | gemma2_2b | D_chord | A_win40 | +0.0972(+0.2614) -0.000692(+0.7401) -0.015735 | -0.000717 0.000194 [-0.000960,-0.000456] 0/5 | +0.000024 p=0.890381
olmomix_wiki | gemma2_2b | D_chord | B_any | +0.0090(+0.4758) -0.000190(+0.5067) -0.014549 | -0.000987 0.000586 [-0.001537,-0.000368] 0/5 | +0.000797 p=0.719727
olmomix_wiki | gemma2_2b | D_chord | D_doc | -0.0235(+0.5662) -0.000701(+0.7676) -0.013727 | -0.001047 0.000326 [-0.001454,-0.000677] 0/5 | +0.000347 p=0.302795
olmomix_wiki | gemma2_2b | E_modulation | A_win40 | +0.2873(+0.0015) +0.005066(+0.0005) +0.088339 | +0.004000 0.001465 [+0.002455,+0.006331] 5/5 | +0.001066 p=0.561401
olmomix_wiki | gemma2_2b | E_modulation | B_any | +0.2008(+0.0160) +0.004505(+0.0005) +0.084842 | +0.002199 0.001067 [+0.000316,+0.002852] 4/5 | +0.002306 p=0.421204
olmomix_wiki | gemma2_2b | E_modulation | D_doc | +0.1571(+0.0615) +0.003135(+0.0085) +0.066773 | +0.001285 0.000818 [+0.000821,+0.002739] 1/5 | +0.001849 p=0.359131
olmomix_wiki | qwen25_3b | C_harmonic | A_win40 | +0.0371(+0.3683) +0.003118(+0.1484) +0.028501 | +0.003072 0.001206 [+0.001043,+0.003954] 0/5 | +0.000046 p=0.761536
olmomix_wiki | qwen25_3b | C_harmonic | B_any | -0.0034(+0.4963) -0.000570(+0.5372) +0.004219 | +0.000664 0.001529 [-0.000998,+0.002350] 0/5 | -0.001234 p=0.803955
