Phase-V v4 cross-corpus specificity (spelled view)
schema=phase5-crosscorpus-v4.1; feature_schema=phase5-theory-v4.1
grids: 4 corpora x one direct + 5 baselines; 36 cells/grid; 15 rows/cell

Direct versus five-seed size-matched Wikipedia baseline; specificity is direct row DeltaKL minus the mean baseline row DeltaKL.
corpus | model | family | extraction | direct residual_r(p) dkl(p) r2 | baseline dkl mean sd [min,max] sig/5 | row mean Wilcoxon-p
olmomix_wiki | olmo2_1b | C_harmonic | A_win40 | +0.0879(+0.2764) +0.001902(+0.2599) +0.005763 | +0.001439 0.001121 [+0.000345,+0.002924] 0/5 | +0.000463 p=0.890381
olmomix_wiki | olmo2_1b | C_harmonic | B_any | +0.0959(+0.2274) +0.002445(+0.1639) +0.009453 | -0.000369 0.002051 [-0.002553,+0.002882] 0/5 | +0.002814 p=0.0479126
olmomix_wiki | olmo2_1b | C_harmonic | D_doc | +0.1939(+0.1304) +0.001155(+0.4183) +0.037164 | +0.000223 0.002235 [-0.002210,+0.003254] 0/5 | +0.000933 p=0.25238
olmomix_wiki | olmo2_1b | D_chord | A_win40 | +0.0193(+0.4508) +0.000187(+0.2344) -0.001565 | -0.000474 0.000435 [-0.001061,-0.000074] 0/5 | +0.000661 p=0.803955
olmomix_wiki | olmo2_1b | D_chord | B_any | -0.0230(+0.5542) -0.000470(+0.3603) -0.006610 | +0.000179 0.000730 [-0.000683,+0.000914] 0/5 | -0.000650 p=0.359131
olmomix_wiki | olmo2_1b | D_chord | D_doc | +0.0355(+0.4308) +0.000622(+0.2174) +0.004081 | -0.000261 0.001586 [-0.002227,+0.001513] 0/5 | +0.000882 p=0.229309
olmomix_wiki | olmo2_1b | E_modulation | A_win40 | +0.1658(+0.1144) +0.002621(+0.0510) +0.072955 | +0.002466 0.000478 [+0.001755,+0.003081] 4/5 | +0.000154 p=0.524475
olmomix_wiki | olmo2_1b | E_modulation | B_any | +0.1187(+0.1554) +0.000305(+0.2824) +0.032904 | +0.000443 0.000669 [-0.000623,+0.001106] 0/5 | -0.000138 p=0.421204
olmomix_wiki | olmo2_1b | E_modulation | D_doc | +0.1743(+0.1384) +0.002121(+0.1369) +0.085206 | +0.002337 0.001699 [+0.000175,+0.004503] 3/5 | -0.000216 p=0.846924
olmomix_wiki | gemma2_2b | C_harmonic | A_win40 | +0.0182(+0.4368) -0.001752(+0.8021) -0.007107 | -0.000810 0.000708 [-0.001613,+0.000173] 0/5 | -0.000943 p=0.599487
olmomix_wiki | gemma2_2b | C_harmonic | B_any | +0.0256(+0.4098) +0.000695(+0.3528) -0.004703 | -0.001550 0.001881 [-0.003748,+0.000831] 0/5 | +0.002245 p=0.168823
olmomix_wiki | gemma2_2b | C_harmonic | D_doc | -0.0054(+0.5167) -0.004226(+0.9190) -0.016881 | -0.004147 0.002592 [-0.006211,-0.000442] 0/5 | -0.000080 p=0.488708
olmomix_wiki | gemma2_2b | D_chord | A_win40 | -0.0375(+0.6152) -0.000467(+0.5752) -0.009868 | -0.001164 0.001023 [-0.002145,-0.000041] 0/5 | +0.000697 p=0.719727
olmomix_wiki | gemma2_2b | D_chord | B_any | -0.1410(+0.8546) -0.000080(+0.4673) +0.000070 | -0.001152 0.000727 [-0.001889,-0.000055] 0/5 | +0.001073 p=0.229309
olmomix_wiki | gemma2_2b | D_chord | D_doc | +0.0815(+0.3238) -0.000614(+0.6112) -0.006692 | -0.001031 0.001242 [-0.003031,+0.000161] 0/5 | +0.000417 p=0.229309
olmomix_wiki | gemma2_2b | E_modulation | A_win40 | +0.1648(+0.1239) +0.007125(+0.0045) +0.043979 | +0.003190 0.002228 [+0.000674,+0.006229] 1/5 | +0.003936 p=0.106995
olmomix_wiki | gemma2_2b | E_modulation | B_any | +0.1505(+0.1334) +0.003714(+0.0320) +0.012451 | -0.000670 0.000675 [-0.001789,-0.000193] 0/5 | +0.004383 p=0.229309
olmomix_wiki | gemma2_2b | E_modulation | D_doc | +0.2852(+0.0500) +0.008801(+0.0065) +0.074788 | +0.010504 0.003638 [+0.007347,+0.015276] 5/5 | -0.001703 p=0.719727
olmomix_wiki | qwen25_3b | C_harmonic | A_win40 | +0.1138(+0.2394) +0.010118(+0.0375) +0.085223 | +0.006433 0.001765 [+0.003864,+0.008154] 0/5 | +0.003686 p=0.25238
olmomix_wiki | qwen25_3b | C_harmonic | B_any | +0.0148(+0.4188) +0.003715(+0.1639) +0.037966 | +0.001912 0.003487 [-0.001744,+0.006981] 0/5 | +0.001803 p=0.488708
olmomix_wiki | qwen25_3b | C_harmonic | D_doc | +0.1848(+0.1589) +0.005724(+0.2384) +0.085059 | +0.004104 0.003795 [-0.000974,+0.008968] 0/5 | +0.001620 p=0.276855
olmomix_wiki | qwen25_3b | D_chord | A_win40 | +0.0631(+0.3333) +0.002736(+0.2604) +0.023421 | +0.000989 0.001397 [-0.000599,+0.002956] 0/5 | +0.001748 p=0.934082
olmomix_wiki | qwen25_3b | D_chord | B_any | +0.0911(+0.2449) +0.005918(+0.1094) +0.016558 | +0.000678 0.002061 [-0.001272,+0.002887] 0/5 | +0.005240 p=0.0946045
olmomix_wiki | qwen25_3b | D_chord | D_doc | -0.0560(+0.6142) -0.001355(+0.8391) -0.002789 | -0.001403 0.001688 [-0.003219,+0.001004] 0/5 | +0.000048 p=0.846924
