corpus=dolmino_flan; source counts [0, 0, 0, 1, 2, 1, 4, 9, 1, 2, 29, 5, 2, 0, 0]
model      family        extract       | resid r (p) | LOO Spearman: theory corpus both  ΔCV(both−theory) (perm p / boot sd) ΔR² within-row (p) ΔKL (p) | twins ΔC·ΔQ cos raw/line-controlled (p): Cb|B Gb|F# Db|C#
olmo2_1b   C_harmonic    A_win40       | too sparse (6 pairs)
olmo2_1b   C_harmonic    B_any         | too sparse (3 pairs)
olmo2_1b   C_harmonic    D_doc         | too sparse (6 pairs)
olmo2_1b   D_chord       A_win40       | too sparse (6 pairs)
olmo2_1b   D_chord       B_any         | too sparse (3 pairs)
olmo2_1b   D_chord       D_doc         | too sparse (6 pairs)
olmo2_1b   E_modulation  A_win40       | too sparse (6 pairs)
olmo2_1b   E_modulation  B_any         | too sparse (3 pairs)
olmo2_1b   E_modulation  D_doc         | too sparse (6 pairs)
gemma2_2b  C_harmonic    A_win40       | too sparse (6 pairs)
gemma2_2b  C_harmonic    B_any         | too sparse (3 pairs)
gemma2_2b  C_harmonic    D_doc         | too sparse (6 pairs)
gemma2_2b  D_chord       A_win40       | too sparse (6 pairs)
gemma2_2b  D_chord       B_any         | too sparse (3 pairs)
gemma2_2b  D_chord       D_doc         | too sparse (6 pairs)
gemma2_2b  E_modulation  A_win40       | too sparse (6 pairs)
gemma2_2b  E_modulation  B_any         | too sparse (3 pairs)
gemma2_2b  E_modulation  D_doc         | too sparse (6 pairs)
qwen25_3b  C_harmonic    A_win40       | too sparse (6 pairs)
qwen25_3b  C_harmonic    B_any         | too sparse (3 pairs)
qwen25_3b  C_harmonic    D_doc         | too sparse (6 pairs)
qwen25_3b  D_chord       A_win40       | too sparse (6 pairs)
qwen25_3b  D_chord       B_any         | too sparse (3 pairs)
qwen25_3b  D_chord       D_doc         | too sparse (6 pairs)
qwen25_3b  E_modulation  A_win40       | too sparse (6 pairs)
qwen25_3b  E_modulation  B_any         | too sparse (3 pairs)
qwen25_3b  E_modulation  D_doc         | too sparse (6 pairs)
olmo2_7b   C_harmonic    A_win40       | too sparse (6 pairs)
olmo2_7b   C_harmonic    B_any         | too sparse (3 pairs)
olmo2_7b   C_harmonic    D_doc         | too sparse (6 pairs)
olmo2_7b   D_chord       A_win40       | too sparse (6 pairs)
olmo2_7b   D_chord       B_any         | too sparse (3 pairs)
olmo2_7b   D_chord       D_doc         | too sparse (6 pairs)
olmo2_7b   E_modulation  A_win40       | too sparse (6 pairs)
olmo2_7b   E_modulation  B_any         | too sparse (3 pairs)
olmo2_7b   E_modulation  D_doc         | too sparse (6 pairs)
