## qwen25_3b predicting position, context 'The piece modulates from {x} major to'
layer | RSA PMI  -fifths  block  common | partial fifths  chrom | circle|line  line|circle | P1 P5 raw | P1 P5 blackproj | iso7
    0 | +nan  +nan  +nan  +nan | +nan  +nan | +nan  +nan | nan nan | nan nan | nan
    2 | +0.11  +0.14  +0.41  +0.36 | -0.05  +0.13 | -0.11  +0.09 | 0.20 0.22 | 0.23 0.10 | 0.64
    4 | +0.27  +0.39  +0.63  +0.25 | +0.14  -0.05 | +0.06  +0.05 | 0.16 0.28 | 0.21 0.12 | 0.59
    6 | +0.27  +0.38  +0.66  +0.26 | +0.10  -0.07 | +0.14  -0.10 | 0.14 0.32 | 0.19 0.15 | 0.64
    8 | +0.36  +0.37  +0.77  +0.26 | +0.03  -0.09 | +0.07  -0.10 | 0.15 0.31 | 0.21 0.12 | 0.54
   10 | +0.35  +0.41  +0.76  +0.29 | +0.10  -0.11 | +0.12  -0.10 | 0.15 0.31 | 0.21 0.13 | 0.58
   12 | +0.40  +0.45  +0.84  +0.33 | +0.13  -0.09 | +0.14  -0.12 | 0.15 0.32 | 0.21 0.12 | 0.52
   14 | +0.29  +0.36  +0.83  +0.27 | -0.07  -0.19 | +0.06  -0.18 | 0.14 0.30 | 0.20 0.12 | 0.53
   16 | +0.27  +0.36  +0.84  +0.24 | -0.06  -0.21 | +0.10  -0.24 | 0.14 0.31 | 0.20 0.13 | 0.54
   18 | +0.27  +0.39  +0.85  +0.24 | -0.01  -0.15 | +0.17  -0.30 | 0.14 0.33 | 0.20 0.13 | 0.50
   20 | +0.31  +0.43  +0.86  +0.23 | +0.08  -0.18 | +0.23  -0.30 | 0.14 0.34 | 0.21 0.14 | 0.51
   22 | +0.39  +0.48  +0.86  +0.23 | +0.20  -0.02 | +0.31  -0.30 | 0.17 0.36 | 0.25 0.14 | 0.45
   24 | +0.39  +0.48  +0.86  +0.26 | +0.21  +0.03 | +0.24  -0.20 | 0.17 0.36 | 0.24 0.13 | 0.45
   26 | +0.53  +0.55  +0.86  +0.25 | +0.37  +0.11 | +0.11  +0.19 | 0.16 0.41 | 0.26 0.12 | 0.42
   28 | +0.55  +0.55  +0.85  +0.20 | +0.40  +0.37 | +0.18  +0.05 | 0.23 0.41 | 0.37 0.12 | 0.43
   30 | +0.58  +0.57  +0.86  +0.21 | +0.41  +0.31 | +0.10  +0.25 | 0.22 0.45 | 0.37 0.12 | 0.41
   32 | +0.58  +0.53  +0.82  +0.23 | +0.33  +0.13 | -0.23  +0.59 | 0.18 0.46 | 0.33 0.10 | 0.33
   34 | +0.57  +0.52  +0.79  +0.20 | +0.32  +0.13 | -0.29  +0.63 | 0.17 0.46 | 0.31 0.10 | 0.32
   36 | +0.58  +0.51  +0.80  +0.23 | +0.28  +0.07 | -0.31  +0.64 | 0.15 0.48 | 0.30 0.09 | 0.28
## qwen25_3b predicting position, context 'The first movement is in {x} major and the second movement is in'
layer | RSA PMI  -fifths  block  common | partial fifths  chrom | circle|line  line|circle | P1 P5 raw | P1 P5 blackproj | iso7
    0 | +nan  +nan  +nan  +nan | +nan  +nan | +nan  +nan | nan nan | nan nan | nan
    2 | +0.27  +0.17  +0.48  +0.61 | +0.01  +0.05 | -0.03  -0.03 | 0.17 0.21 | 0.21 0.13 | 0.57
    4 | +0.20  +0.09  +0.44  +0.37 | -0.12  -0.05 | -0.12  +0.02 | 0.17 0.20 | 0.20 0.07 | 0.50
    6 | +0.31  +0.19  +0.54  +0.30 | -0.04  +0.02 | -0.13  +0.10 | 0.19 0.26 | 0.24 0.07 | 0.43
    8 | +0.31  +0.21  +0.65  +0.30 | -0.13  -0.30 | -0.24  +0.19 | 0.13 0.25 | 0.17 0.07 | 0.48
   10 | +0.26  +0.20  +0.57  +0.28 | -0.11  -0.17 | -0.23  +0.22 | 0.14 0.26 | 0.18 0.10 | 0.58
   12 | +0.19  +0.25  +0.55  +0.29 | -0.02  -0.12 | -0.03  +0.02 | 0.15 0.28 | 0.19 0.12 | 0.62
   14 | +0.19  +0.21  +0.47  +0.27 | -0.03  -0.06 | -0.02  +0.01 | 0.14 0.28 | 0.17 0.13 | 0.65
   16 | +0.24  +0.27  +0.58  +0.29 | -0.03  -0.02 | +0.00  -0.01 | 0.12 0.31 | 0.16 0.13 | 0.57
   18 | +0.25  +0.29  +0.60  +0.29 | -0.02  -0.01 | +0.02  -0.02 | 0.12 0.31 | 0.16 0.13 | 0.56
   20 | +0.33  +0.34  +0.66  +0.29 | +0.02  -0.02 | +0.07  -0.06 | 0.13 0.33 | 0.17 0.13 | 0.55
   22 | +0.45  +0.38  +0.81  +0.25 | +0.07  +0.11 | -0.04  +0.05 | 0.20 0.32 | 0.29 0.09 | 0.41
   24 | +0.47  +0.42  +0.83  +0.25 | +0.11  +0.06 | +0.02  +0.01 | 0.18 0.34 | 0.27 0.10 | 0.41
   26 | +0.53  +0.47  +0.84  +0.26 | +0.20  +0.10 | -0.20  +0.42 | 0.18 0.40 | 0.29 0.10 | 0.38
   28 | +0.57  +0.51  +0.85  +0.24 | +0.27  +0.13 | -0.21  +0.50 | 0.18 0.42 | 0.30 0.10 | 0.38
